epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.2035,1.83092,3.00533,1.87861,0.13661,0.18072,0.08342,0.03472,2.29051,4.21769,2.25061,0.000414046,0.000414046,0.000414046
2,133.52,1.90523,2.44116,1.91654,0.18912,0.14443,0.06244,0.02398,2.47314,4.81668,2.63404,0.00082523,0.00082523,0.00082523
3,197.343,1.91654,2.48613,1.94278,0.26616,0.22137,0.15714,0.06805,2.29981,3.15027,2.46272,0.00123091,0.00123091,0.00123091
4,261.909,1.8695,2.375,1.90381,0.28218,0.22605,0.14927,0.05799,2.26805,3.59849,2.30509,0.00122525,0.00122525,0.00122525
5,325.367,1.82293,2.29095,1.8553,0.4434,0.35039,0.34771,0.16919,2.03963,2.29635,2.07149,0.001217,0.001217,0.001217
6,390.047,1.74935,2.14846,1.8016,0.36989,0.24645,0.23545,0.1118,2.21167,2.7255,2.26357,0.00120875,0.00120875,0.00120875
7,453.857,1.71733,2.03549,1.76608,0.44128,0.36586,0.34102,0.16186,2.04227,2.52335,2.03457,0.0012005,0.0012005,0.0012005
8,517.632,1.67071,1.9922,1.7349,0.50218,0.43673,0.45066,0.22286,1.8635,1.99252,1.90288,0.00119225,0.00119225,0.00119225
9,582.528,1.63718,1.93128,1.71222,0.47712,0.44712,0.4469,0.24122,1.82927,2.04572,1.88105,0.001184,0.001184,0.001184
10,647.514,1.61329,1.86546,1.68747,0.58229,0.43966,0.4915,0.27204,1.77263,1.88764,1.81261,0.00117575,0.00117575,0.00117575
11,712.448,1.60619,1.81458,1.66218,0.60616,0.47132,0.51994,0.281,1.75832,1.77416,1.80541,0.0011675,0.0011675,0.0011675
12,777.974,1.56474,1.77135,1.63644,0.59734,0.41897,0.46961,0.25741,1.82539,1.89557,1.8626,0.00115925,0.00115925,0.00115925
13,840.918,1.52989,1.72258,1.61697,0.54768,0.47433,0.52564,0.29896,1.72799,1.71746,1.78601,0.001151,0.001151,0.001151
14,905.6,1.55165,1.708,1.62647,0.57729,0.46856,0.51258,0.2752,1.79984,1.83818,1.81057,0.00114275,0.00114275,0.00114275
15,968.759,1.53932,1.67003,1.61245,0.58676,0.45636,0.51681,0.27711,1.80277,1.88367,1.86388,0.0011345,0.0011345,0.0011345
16,1032.41,1.51241,1.64694,1.59525,0.59754,0.44438,0.49337,0.25787,1.77505,1.79754,1.79416,0.00112625,0.00112625,0.00112625
